identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
20171383,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
20171385,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,2,23.0,2017
20171391,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,20.0,2017
20171408,M,IVOIRIENNE,C,BIEN,NON,1,22.0,2017
20171410,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,23.0,2017
20171413,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
20171418,M,IVOIRIENNE,C,BIEN,NON,8,22.0,2017
20171419,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,25.0,2017
20171420,M,IVOIRIENNE,C,BIEN,NON,2,20.0,2017
20171423,F,IVOIRIENNE,B,ASSEZ-BIEN,NON,1,23.0,2017
20171427,M,IVOIRIENNE,C,BIEN,NON,6,22.0,2017
20171432,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,3,21.0,2017
20171452,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,4,24.0,2017
20171459,M,IVOIRIENNE,D,BIEN,NON,3,20.0,2017
20171469,M,IVOIRIENNE,A1,BIEN,NON,9,21.0,2017
20171475,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20171483,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20171484,M,IVOIRIENNE,D,BIEN,NON,3,21.0,2017
20171493,M,IVOIRIENNE,C,BIEN,NON,12,19.0,2017
20171511,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,5,21.0,2017
20171525,M,IVOIRIENNE,C,BIEN,NON,1,23.0,2017
20171526,M,IVOIRIENNE,F1,PASSABLE,OUI,3,24.0,2017
20171529,F,IVOIRIENNE,C,BIEN,NON,5,21.0,2017
20171543,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20171549,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,2,24.0,2017
20171558,M,IVOIRIENNE,F2,PASSABLE,NON,1,23.0,2017
20171561,M,IVOIRIENNE,C,BIEN,NON,2,20.0,2017
20171568,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
20171574,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,7,22.0,2017
20171580,M,IVOIRIENNE,D,BIEN,NON,2,22.0,2017
20171590,M,IVOIRIENNE,G2,BIEN,NON,2,22.0,2017
20171612,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,1,28.0,2017
20171618,F,IVOIRIENNE,C,BIEN,NON,4,21.0,2017
20171622,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,22.0,2017
20171626,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,22,21.0,2017
20171629,F,IVOIRIENNE,D,BIEN,NON,3,21.0,2017
20171637,M,IVOIRIENNE,C,BIEN,NON,21,21.0,2017
20171676,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20171678,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,21.0,2017
20171686,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,6,23.0,2017
20171697,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,23,20.0,2017
20171700,F,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20171706,F,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
20171708,F,IVOIRIENNE,C,BIEN,NON,16,21.0,2017
20171710,M,IVOIRIENNE,D,BIEN,NON,2,22.0,2017
20171714,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
20171724,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,8,25.0,2017
20171729,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,4,20.0,2017
20171733,M,IVOIRIENNE,F3,ASSEZ-BIEN,NON,2,22.0,2017
20171738,F,IVOIRIENNE,D,BIEN,OUI,3,20.0,2017
20171753,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,8,21.0,2017
20171758,M,IVOIRIENNE,D,BIEN,NON,1,23.0,2017
20171762,F,IVOIRIENNE,C,BIEN,NON,5,21.0,2017
20171766,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,20.0,2017
20171775,M,IVOIRIENNE,BT ELECTRONIQUE,ASSEZ-BIEN,NON,1,26.0,2017
20171778,F,IVOIRIENNE,B,ASSEZ-BIEN,NON,4,21.0,2017
20171780,M,IVOIRIENNE,E,PASSABLE,OUI,7,20.0,2017
20171786,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20171790,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
20171791,M,IVOIRIENNE,C,BIEN,NON,1,23.0,2017
20171797,F,IVOIRIENNE,A2,ASSEZ-BIEN,NON,1,21.0,2017
20171808,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,10,21.0,2017
20171815,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
20171827,M,IVOIRIENNE,BT MECANIQUE AUTOMOBILE,ASSEZ-BIEN,NON,10,23.0,2017
20171837,M,IVOIRIENNE,C,PASSABLE,NON,2,20.0,2017
20171838,M,IVOIRIENNE,E,PASSABLE,OUI,8,25.0,2017
20171840,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,20.0,2017
20171842,M,IVOIRIENNE,C,BIEN,NON,4,20.0,2017
20171854,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,2,21.0,2017
20171859,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,1,22.0,2017
20171864,M,IVOIRIENNE,D,BIEN,NON,2,22.0,2017
20171867,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
20171868,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,5,21.0,2017
20171888,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,6,22.0,2017
20171889,M,IVOIRIENNE,A2,BIEN,NON,2,22.0,2017
20171923,F,IVOIRIENNE,D,BIEN,NON,1,19.0,2017
20171932,M,IVOIRIENNE,C,BIEN,NON,3,23.0,2017
20171936,M,IVOIRIENNE,E,PASSABLE,NON,20,22.0,2017
20171940,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,6,23.0,2017
20171947,F,IVOIRIENNE,D,BIEN,NON,5,21.0,2017
20171953,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,21.0,2017
20171954,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
20171975,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
20171984,M,IVOIRIENNE,E,PASSABLE,NON,13,24.0,2017
20171989,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
20171999,M,IVOIRIENNE,C,BIEN,NON,8,20.0,2017
